index,transliteration,word
H0229,’ezvay,אֶזְבַּי
H0230,’azad,אֲזָד
H0231,’ezov,אֵזוֹב
H0232,’ezor,אֵזוֹר
H0233,’azai,אֲזַי
H0234,’azkharah,אַזְכָּרָה
H0235,’azal,אָזַל
H0236,’azal,אֲזַל
H0238,’azan,אָזַן
H0239,’azan,אָזַן
H0240,’azen,אָזֵן
H0241,’ozen,אֹזֶן
H0242,’uzen she’erah,אֻזֵּן שֶׁאֱרָה
H0243,’aznot tavor,אַזְנוֹת תָּבוֹר
H0244,’ozni,אָזְנִי
H0245,’azanyah,אֲזַנְיָה
H0246,’aziqiym,אֲזִקִּים
H0247,’azar,אָזַר
H0248,’ezroa‘,אֶזְרוֹעַ
H0249,’ezrach,אֶזְרָח
H0250,’ezrachi,אֶזְרָחִי
H0251,’ach,אָח
H0252,’ach,אַח
H0253,’ach,אָח
H0254,’ach,אָח
H0255,’oach,אֹחַ
H0256,"’ach’av, ’echav","אַחְאָב, אֶחָב"
H0257,’achvan,אַחְבָּן
H0258,’achad,אָחַד
H0259,’echad,אֶחָד
H0260,’achu,אָחוּ
H0261,’echud,אֵחוּד
H0262,’achwah,אַחְוָה
H0263,’achawah,אַחֲוָה
H0264,’achawah,אַחֲוָה
H0265,’achoach,אֲחוֹחַ
H0266,’achochi,אֲחוֹחִי
H0267,’achumai,אֲחוּמַי
H0268,"’achor, ’achor","אָחוֹר, אָחֹר"
H0269,’achot,אָחוֹת
H0270,’achaz,אָחַז
H0271,’achaz,אָחָז
H0272,’achuzah,אֲחֻזָּה
H0273,’achzai,אַחְזַי
H0274,"’achazyah, ’achazyahu","אֲחַזְיָה, אֲחַזְיָהוּ"
H0275,’achuzam,אֲחֻזָּם
H0276,’achuzat,אֲחֻזַּת
H0277,’achi,אֲחִי
H0278,’echi,אֵחִי
H0279,’achi’am,אֲחִיאָם
H0280,’achidah,אֲחִידָה
H0281,"’achiyah, ’achiyahu","אֲחִיָּה, אֲחִיָּהוּ"
H0282,’achihud,אֲחִיהוּד
H0283,’achyo,אַחְיוֹ
H0284,’achichud,אֲחִיחֻד
H0285,’achituv,אֲחִיטוּב
H0286,’achilud,אֲחִילוּד
H0287,’achimot,אֲחִימוֹת
H0288,’achimelekh,אֲחִימֶלֶךְ
H0289,"’achiman, ’achiman","אֲחִימַן, אֲחִימָן"
H0290,’achima‘atz,אֲחִימַעַץ
H0291,’achyan,אַחְיָן
H0292,’achinadav,אֲחִינָדָב
H0293,’achin‘am,אֲחִי֑נעַם
H0294,’achisamakh,אֲחִיסָמָךְ
H0295,’achi‘ezer,אֲחִיעֶזֶר
H0296,’achiqam,אֲחִיקָם
H0297,’achiram,אֲחִירָם
H0298,’achirami,אֲחִירָמִי
H0299,’achira‘,אֲחִירַע
H0300,’achishachar,אֲחִישַׁחַר
H0301,’achishar,אֲחִישָׁר
H0302,’achitofel,אֲחִיתֹפֶל
H0303,’achlav,אַחְלָב
H0304,’achlai,אַחְלַי
H0305,"’achala, ’achalei","אַחֲלַי, אַחֲלֵי"
H0306,’achlamah,אַחְלָמָה
H0307,’achmeta’,אַחְמְתָא
H0308,’achasvay,אֲחַסְבַּי
H0309,’achar,אָחַר
H0310,’achar,אַחַר
H0311,’achar,אַחַר
H0312,’acher,אַחֵר
H0313,’acher,אַחֵר
H0314,"’acharon, ’acharon","אַחֲרוֹן, אַחֲרֹן"
H0315,’achrach,אַחְרַח
H0316,’acharchel,אֲחַרְחֵל
H0317,’achari,אָחֲרִי
H0318,"’acharen, ’acharen","אָחֲרֵין, אָחֲרֵן"
H0319,’acharit,אַחֲרִית
H0320,’acharit,אַחֲרִית
H0321,’acharan,אָחֲרָן
H0322,’achoraniyt,אֲחֹרַנִּית
H0323,’achashdarfan,אֲחַשְׁדַּרְפַּן
H0324,’achashdarfan,אֲחַשְׁדַּרְפַּן
H0325,"’achashwerosh, ’achashrsh","אֲחַשְׁוֵרוֹשׁ, אַחַשְׁרשׁ"
H0326,’achashtari,אֲחַשְׁתָּרִי
H0327,’achashtaran,אֲחַשְׁתָּרָן
H0328,’at,אַט
H0329,’atad,אָטָד
H0330,’etun,אֵטוּן
H0331,’atam,אָטַם
H0332,’atar,אָטַר
H0333,’ater,אָטֵר
H0334,’ater,אָטֵּר
H0335,’ai,אַי
H0336,’i,אִי
H0337,’i,אִי
H0338,’i,אִי
H0339,’i,אִי
H0340,’ayav,אָיַב
H0341,"’oyev, ’owev","אֹיֵב, אוֵֹיב"
H0342,’evah,אֵיבָה
H0343,’ed,אֵיד
H0344,’ayah,אַיָּה
H0345,’ayah,אַיָּה
H0346,’ayeh,אַיֵּה
H0347,’iyyov,אִיּוֹב
H0348,’izevel,אִיזֶבֶל
H0349,"’ekh, ’ekhah, ’ekhakhah","אֵיךְ, אֵיכָה, אֵיכָכָה"
H0350,’i-khavod,אִי־כָבוֹד
H0351,’ekhoh,אֵיכֹה
H0352,’ayil,אַיִל
H0353,’eyal,אֱיָל
H0354,’ayal,אַיָּל
H0355,’ayalah,אַיָּלָה
H0356,"’elon, ’elon, ’elon","אֵילוֹן, אֵלוֹן, אֵילֹן"
H0357,’ayalon,אַיָּלוֹן
H0358,’elon beyt chanan,אֵילוֹן בֵּית חָנָן
H0359,"’elot, ’elat","אֵילוֹת, אֵילַת"
H0360,’eyalut,אֱיָלוּת
H0361,"’elam, ’elam, ’elamah","אֵילָם, אֵלָם, אֵלַמָּה"
H0362,’elim,אֵילִם
H0363,’ilan,אִילָן
H0364,’el pa’ran,אֵיל פָּארָן
H0365,’ayelet,אַיֶּלֶת
H0366,’am,אָ֑ים
H0367,"’emah, ’emah","אֵימָה, אֵמָה"
H0368,’emim,אֵימִים
H0369,’ayin,אַיִן
H0370,’ayin,אַיִן
H0371,’in,אִין
H0372,’i‘ezer,אִיעֶזֵר
H0373,’i‘ezri,אִיעֶזְרִי
H0374,"’efah, ’efah","אֵיפָה, אֵפָה"
H0375,’efoh,אֵיפֹה
H0376,’ish,אִישׁ
H0377,’ashash,אָשַׁשׁ
H0378,’ish-bshet,אִישׁ־בּשֶׁת
H0379,’ishhod,אִישְׁהוֹד
H0380,’ishon,אִישׁוֹן
H0382,’ish-tov,אִישׁ־טוֹב
H0383,’itai,אִיתַי
H0384,’iti’el,אִיתִיאֵל
H0385,’itamar,אִיתָמָר
H0386,"’etan, ’etan","אֵיתָן, אֵתָן"
H0387,’etan,אֵיתָן
H0388,’etanim,אֵיתָנִים
H0389,’akh,אַךְ
H0390,’akhad,אַכַּד
H0391,’akhzav,אַכְזָב
H0392,’akhziv,אַכְזִיב
H0393,’akhzar,אַכְזָר
H0394,’akhzari,אַכְזָרִי
H0395,’akhzeriyyut,אַכְזְרִיּוּת
H0396,’akhilah,אֲכִילָה
H0397,’akhish,אָכִישׁ
H0398,’akhal,אָכַל
H0399,’akhal,אֲכַל
H0400,’okhel,אֹכֶל
H0401,"’ukhal, ’ukhal","אֻכָל, אֻכָּל"
H0402,’okhlah,אָכְלָה
H0403,’akhen,אָכֵן
H0404,’akhaf,אָכַף
H0405,’ekhef,אֶכֶף
H0406,’ikhar,אִכָּר
H0407,’akhshaf,אַכְשָׁף
H0408,’al,אַל
H0409,’al,אַל
H0410,’el,אֵל
H0411,’el,אֵל
H0412,’el,אֵל
H0413,"’el, ’el","אֵל, אֶל"
H0414,’ela’,אֵלָא
H0415,’el ’elohei yisra’el,אֵל אֱלֹהֵי יִשְׂרָאֵל
H0416,’el beyt-’el,אֵל בֵּית־אֵל
H0417,’elgavish,אֶלְגָּבִישׁ
H0418,’algumiym,אַלְגּוּמִּים
H0419,’eldad,אֶלְדָּד
H0420,’elda‘ah,אֶלְדָּעָה
H0421,’alah,אָלָה
H0422,’alah,אָלָה
H0423,’alah,אָלָה
H0424,’ilah,אִלָה
H0425,’elah,אֵלָה
H0426,’elah,אֱלָהּ
H0427,’alah,אַלָּה
H0428,’eleh,אֵלֶּה
H0429,’eleh,אֵלֶּה
H0430,’elohim,אֱלֹהִים
H0431,’alu,אֲלוּ
H0432,’illu,אִלּוּ
H0433,"’eloha, ’eloha","אֱלוֹהַּ, אֱלֹהַּ"
H0434,’elul,אֱלוּל
H0435,’elul,אֱלוּל
H0436,’elon,אֵלוֹן
H0437,’allon,אַלּוֹן
H0438,’allon,אַלּוֹן
H0439,’allon bakhut,אַלּוֹן בָּכוּת
H0440,"’eloni, ’eloni","אֵלוֹנִי, אֵלֹנִי"
H0441,"’alluf, ’aluf","אַלּוּף, אַלֻּף"
H0442,’alush,אָלוּשׁ
H0443,’elzavad,אֶלְזָבָד
H0444,’alach,אָלַח
H0445,’elchanan,אֶלְחָנָן
H0446,’eli’av,אֱלִיאָב
H0447,’eli’el,אֱלִיאֵל
H0448,"’eli’atah, ’eliyatah","אֱלִיאָתָה, אֱלִיָּתָה"
H0449,’elidad,אֱלִידָד
H0450,’elyada‘,אֶלְיָדָע
H0451,’alyah,אַלְיָה
H0452,"’eliyah, ’eliyahu","אֵלִיָּה, אֵלִיָּהוּ"
H0453,"’elihu, ’elihu’","אֱלִיהוּ, אֱלִיהוּא"
H0454,"’elyeho‘ena, ’elyo‘enai","אֶלְיְהוֹעֵינַי, אֶלְיוֹעֵינַי"
H0455,’elyachva’,אֶלְיַחְבָּא
H0456,’elichoref,אֱלִיחֹרֶף
H0457,’elil,אֱלִיל
H0458,’elimelekh,אֱלִימֶלֶךְ
H0459,"’ileyn, ’ilen","אִלֵּין, אִלֵּן"
H0460,’elyasaf,אֶלְיָסָף
H0461,’eli‘ezer,אֱלִיעֶזֶר
H0462,’eli‘enai,אֱלִיעֵינַי
H0463,’eli‘am,אֱלִיעָם
H0464,’elifaz,אֱלִיפַז
H0465,’elifal,אֱלִיפָל
H0466,’eliflehu,אֱלִיפְלֵהוּ
H0467,"’elifelet, ’elfelet","אֱלִיפֶלֶט, אֱלְפֶּלֶט"
H0468,’elitzur,אֱלִיצוּר
H0469,"’elitzafan, ’eltzafan","אֱלִיצָפָן, אֶלְצָפָן"
H0470,’eliqa’,אֱלִיקָא
H0471,’elyaqim,אֶלְיָקִים
H0472,’elisheva‘,אֱלִישֶׁבַע
H0473,’elishah,אֱלִישָׁה
H0474,’elishua‘,אֱלִישׁוּעַ
H0475,’elyashiv,אֶלְיָשִׁיב
H0476,’elishama‘,אֱלִישָׁמָע
H0477,’elisha‘,אֱלִישָׁע
H0478,’elishafat,אֱלִישָׁפָט
H0479,’ilekh,אִלֵּךְ
H0480,’alelai,אַלְלַי
H0481,’alam,אָלַם
H0482,’elem,אֵלֶם
H0483,’ilem,אִלֵּם
H0484,’almugiym,אַלְמֻגִּים
H0485,"’alumah, ’alum","אֲלֻמָּה, אָלֻם"
H0486,’almodad,אַלְמוֹדָד
H0487,’alamelekh,אַלַּמֶּלֶךְ
H0488,’alman,אַלְמָן
H0489,’almon,אַלְמֹן
H0490,’almanah,אַלְמָנָה
H0491,’almanut,אַלְמָנוּת
H0492,’almoni,אַלְמֹנִי
H0493,’elna‘am,אֶלְנַעַם
H0494,’elnatan,אֶלְנָתָן
H0495,’elasar,אֶלָּסָר
H0496,’el‘ad,אֶלְעָד
H0497,’el‘adah,אֶלְעָדָה
H0498,’el‘uzai,אֶלְעוּזַי
H0499,’el‘azar,אֶלְעָזָר
H0500,"’el‘ale’, ’el‘aleh","אֶלְעָלֵא, אֶלְעָלֵה"
H0501,’el‘asah,אֶלְעָשָׂה
H0502,’alaf,אָלַף
H0503,’alaf,אָלַף
H0504,’elef,אֶלֶף
H0505,’elef,אֶלֶף
H0506,"’alaf, ’elef","אֲלַף, אֶלֶף"
H0507,’elef,אֶלֶף
H0508,’elfa‘al,אֶלְפַּעַל
H0509,’alatz,אָלַץ
H0510,’alqum,אַלְקוּם
H0511,’elqanah,אֶלְקָנָה
H0512,’elqshi,אֶלְקשִׁי
H0513,’eltolad,אֶלְתּוֹלַד
H0514,"’elteqe’, ’elteqeh","אֶלְתְּקֵא, אֶלְתְּקֵה"
H0515,’elteqon,אֶלְתְּקֹן
H0516,’al tashchet,אַל תַּשְׁחֵת
H0517,’em,אֵם
H0518,’im,אִם
H0519,’amah,אָמָה
H0520,’amah,אַמָּה
H0521,’amah,אַמָּה
H0522,’amah,אַמָּה
H0523,’umah,אֻמַּה
H0524,’umah,אֻמָּה
H0525,’amon,אָמוֹן
H0526,’amon,אָמוֹן
H0527,’amon,אָמוֹן
H0528,’amon,אָמוֹן
H0529,’emun,אֵמוּן
H0530,"’emunah, ’emunah","אֱמוּנָה, אֱמֻנָה"
H0531,’amotz,אָמוֹץ
H0532,’ami,אָמִי
H0533,"’amiytz, ’amitz","אַמִּיץ, אַמִּץ"
H0534,’amir,אָמִיר
H0535,’amal,אָמַל
H0536,’umlal,אֻמְלַל
H0537,’amelal,אֲמֵלָל
H0538,’amam,אֲמָם
H0539,’aman,אָמַן
H0540,’aman,אֲמַן
H0542,’aman,אָמָן
H0543,’amen,אָמֵן
H0544,’omen,אֹמֶן
H0545,’omnah,אָמְנָה
H0546,’omnah,אָמְנָה
H0547,’omenah,אֹמְנָה
H0548,’amanah,אֲמָנָה
H0549,’amanah,אֲמָנָה
H0550,"’amnon, ’aminon","אַמְנוֹן, אֲמִינוֹן"
H0551,’omnam,אָמְנָם
H0552,’umnam,אֻמְנָם
H0553,’amatz,אָמַץ
H0554,’amotz,אָמֹץ
H0555,’ometz,אֹמֶץ
H0556,’amtzah,אַמְצָה
H0557,’amtzi,אַמְצִי
H0558,"’amatzyah, ’amatzyahu","אֲמַצְיָה, אֲמַצְיָהוּ"
H0559,’amar,אָמַר
H0560,’amar,אֲמַר
H0561,’emer,אֵמֶר
H0562,’omer,אֹמֶר
H0563,’imar,אִמַּר
H0564,’imer,אִמֵּר
H0565,"’imrah, ’emrah","אִמְרָה, אֶמְרָה"
H0566,’imri,אִמְרִי
H0567,’emori,אֱמֹרִי
H0568,"’amaryah, ’amryahu","אֲמַרְיָה, אֲמרְיָהוּ"
H0569,’amrafel,אַמְרָפֶל
H0570,’emesh,אֶמֶשׁ
H0571,’emet,אֶמֶת
H0572,’amtechat,אַמְתֵּחַת
H0573,’amitay,אֲמִתַּי
H0574,’emtan,אֵימְתָן
H0575,"’an, ’anah","אָן, אָנָה"
H0576,"’ana’, ’anah","אֲנָא, אֲנָה"
H0577,"’ana’, ’anah","אָנָּא, אָנָּה"
H0578,’anah,אָנָה
H0579,’anah,אָנָה
H0580,’anu,אֲנוּ
H0581,"’innun, ’eniyn","אִנּוּן, אֵנִּין"
H0582,’enosh,אֱנוֹשׁ
H0583,’enosh,אֱנוֹשׁ
H0584,’anach,אָנַח
H0585,’anachah,אֲנָחָה
H0586,"’anachna’, ’anachnah","אֲנַחְנָא, אֲנַחְנָה"
H0587,’anachnu,אֲנַחְנוּ
H0588,’anacharat,אֲנָחֲרָת
H0589,’ani,אֲנִי
H0590,’ani,אֲנִי
H0591,’aniyah,אֲנִיָּה
H0592,’aniyah,אֲנִיָּה
H0593,’ani‘am,אֲנִיעָם
H0594,’anakh,אֲנָךְ
H0595,’ankhi,אָ֑נכִי
H0596,’anan,אָנַן
H0597,’anas,אָנַס
H0598,’anas,אֲנַס
H0599,’anaf,אָנַף
H0600,’anaf,אֲנַף
H0601,’anafah,אֲנָפָה
H0602,’anaq,אָנַק
H0603,’anaqah,אֲנָקָה
H0604,’anaqah,אֲנָקָה
H0605,’anash,אָנַשׁ
H0606,"’enash, ’enash","אֱנָשׁ, אֱנַשׁ"
H0607,’antah,אַנְתָּה
H0608,’antun,אַנְתּוּן
H0609,’asa’,אָסָא
H0610,’asukh,אָסוּךְ
H0611,’ason,אָסוֹן
H0612,’esur,אֵסוּר
H0613,’esur,אֱסוּר
H0614,"’asif, ’asif","אָסִיף, אָסִף"
H0615,’asir,אָסִיר
H0616,’asiyr,אַסִּיר
H0617,’asiyr,אַסִּיר
H0618,’asam,אָסָם
H0619,’asnah,אַסְנָה
H0620,’asnafar,אָסְנַפַּר
H0621,senat,סְנַת
H0622,’asaf,אָסַף
H0623,’asaf,אָסָף
H0624,’asuf,אָסֻף
H0625,’osef,אֹסֶף
H0626,’asefah,אֲסֵפָה
H0627,’asufah,אֲסֻפָה
H0628,’asfesuf,אַסְפְּסֻף
H0629,’osfarna’,אָסְפַּרְנָא
H0630,’asfata’,אַסְפָּתָא
H0631,’asar,אָסַר
H0632,"’esar, ’isar","אֱסָר, אִסָּר"
H0633,’esar,אֱסָר
H0634,’esar-chaddon,אֵסַר־חַדּוֹן
H0635,’ester,אֶסְתֵּר
H0636,’a‘,אָע
H0637,’af,אַף
H0638,’af,אַף
H0639,’af,אַף
H0640,’afad,אָפַד
H0641,’efod,אֵפֹד
H0642,’efudah,אֵפֻדָּה
H0643,’afeden,אַפֶּדֶן
H0644,’afah,אָפָה
H0645,"’efo, ’efo’","אֵפוֹ, אֵפוֹא"
H0646,"’efod, ’efod","אֵפוֹד, אֵפֹד"
H0647,’afiach,אֲפִיחַ
H0648,’afil,אָפִיל
H0649,’afayim,אַפַּיִם
H0650,’afiq,אָפִיק
H0651,’afel,אָפֵל
H0652,’ofel,אֹפֶל
H0653,’afelah,אֲפֵלָה
H0654,’eflal,אֶפְלָל
H0655,’ofen,אֹפֶן
H0656,’afes,אָפֵס
H0657,’efes,אֶפֶס
H0658,’efes damiym,אֶפֶס דַּמִּים
H0659,’efa‘,אֵפַע
H0660,’ef‘eh,אֶפְעֶה
H0661,’afaf,אָפַף
H0662,’afaq,אָפַק
H0663,"’afeq, ’afiq","אֲפֵק, אֲפִיק"
H0664,’afeqah,אֲפֵקָה
H0665,’efer,אֵפֶר
H0666,’afer,אֲפֵר
H0667,’efroach,אֶפְרֹחַ
H0668,’afiryon,אַפִּרְיוֹן
H0669,’efrayim,אֶפְרַיִם
H0670,’afarsai,אֲפָרְסָי
H0671,"’afarsekha, ’afarsatkhai","אֲפַרְסְכַי, אֲפַרְסַתְכַי"
H0672,"’efrat, ’efratah","אֶפְרָת, אֶפְרָתָה"
H0673,’efrati,אֶפְרָתִי
H0674,’aftom,אַפְּתֹם
H0675,"’etzbon, ’etzvon","אֶצְבּוֹן, אֶצְבֹּן"
H0676,’etzva‘,אֶצְבַּע
H0677,’etzva‘,אֶצְבַּע
H0678,’atzil,אָצִיל
H0679,’atziyl,אַצִּיל
H0680,’atzal,אָצַל
H0681,’etzel,אֵצֶל
H0682,’atzel,אָצֵל
H0683,’atzalyahu,אֲצַלְיָהוּ
H0684,’otzem,אֹצֶם
H0685,’etz‘adah,אֶצְעָדָה
H0686,’atzar,אָצַר
H0687,’etzer,אֶצֶר
H0688,’eqdach,אֶקְדָּח
